epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,299.147,0.66582,2.21317,1.0369,0.92269,0.92124,0.9698,0.83053,0.51807,0.56273,0.94558,0.00999429,0.00333143,0.00999429,0.00333143,0.00999429,0.00333143,0.00999429,0.00333143
2,579.756,0.64932,1.11503,0.99907,0.97207,0.96018,0.9859,0.87088,0.486,0.39353,0.91667,0.0197963,0.00659878,0.0197963,0.00659878,0.0197963,0.00659878,0.0197963,0.00659878
3,857.969,0.64653,0.82783,1.00032,0.97355,0.96876,0.98977,0.88194,0.47751,0.38467,0.91658,0.0294004,0.00980013,0.0294004,0.00980013,0.0294004,0.00980013,0.0294004,0.00980013
4,1135.22,0.60922,0.67215,0.99045,0.98786,0.98435,0.99338,0.91498,0.40607,0.28929,0.87011,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1412.06,0.54974,0.56393,0.97117,0.99273,0.99002,0.99424,0.93577,0.36949,0.26137,0.85628,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1689.67,0.51722,0.51659,0.96111,0.99333,0.98953,0.99398,0.94081,0.35323,0.24892,0.85462,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1968.22,0.49234,0.47354,0.94945,0.99328,0.991,0.9939,0.94511,0.34401,0.23139,0.84691,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2246.79,0.47268,0.44532,0.94025,0.99497,0.99418,0.99444,0.95251,0.31652,0.21674,0.83819,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2524.53,0.4457,0.42101,0.9257,0.99788,0.99473,0.99441,0.96388,0.28548,0.19584,0.81866,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2803.06,0.42544,0.40625,0.91828,0.9967,0.9957,0.99446,0.97184,0.26006,0.18553,0.80988,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3080.35,0.40212,0.38807,0.90794,0.99794,0.99568,0.99434,0.97909,0.23793,0.17898,0.80147,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3358.14,0.38464,0.37671,0.90167,0.99645,0.99589,0.99461,0.98146,0.2296,0.17041,0.79805,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3636.02,0.37056,0.36567,0.89636,0.99741,0.99773,0.99438,0.98286,0.22079,0.16065,0.79503,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3913.85,0.35844,0.35378,0.89102,0.99746,0.99718,0.99443,0.98517,0.21193,0.15676,0.79212,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4191.33,0.35126,0.34533,0.88842,0.99683,0.99717,0.99434,0.98714,0.20007,0.15046,0.78721,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
